league,team,zone,zone_idx,n,mean_team,mean_league,direction,cohen_d,t_stat,p_raw,q_fdr,sig
FA WSL 2018-19,Arsenal WFC,C1_R1,0,429,0.002254,0.001668,above,0.0554,1.1481,0.25156458433659445,0.581896,ns
FA WSL 2018-19,Arsenal WFC,C1_R2,1,1014,0.001111,0.002377,below,-0.1326,-4.2222,2.6362147481909463e-05,0.00087,***
FA WSL 2018-19,Arsenal WFC,C1_R3,2,406,0.002437,0.001124,above,0.1389,2.799,0.005371247915707933,0.053391,ns
FA WSL 2018-19,Arsenal WFC,C2_R1,3,1346,0.000541,0.000735,below,-0.0418,-1.5319,0.12577842471694217,0.422104,ns
FA WSL 2018-19,Arsenal WFC,C2_R2,4,1267,0.000292,0.000747,below,-0.0809,-2.8805,0.004037783665543621,0.047028,*
FA WSL 2018-19,Arsenal WFC,C2_R3,5,1286,0.000744,0.000662,above,0.0174,0.6248,0.5322417398572077,0.771704,ns
FA WSL 2018-19,Arsenal WFC,C3_R1,6,1864,0.000604,0.000475,above,0.0334,1.4402,0.14997850775992017,0.449936,ns
FA WSL 2018-19,Arsenal WFC,C3_R2,7,1962,0.000752,0.000629,above,0.0256,1.1361,0.25607208178402435,0.581896,ns
FA WSL 2018-19,Arsenal WFC,C3_R3,8,1861,0.000555,0.000443,above,0.0309,1.3325,0.1828464940082277,0.517194,ns
FA WSL 2018-19,Arsenal WFC,C4_R1,9,1609,0.000938,0.000904,above,0.0077,0.3079,0.7581942639324921,0.889498,ns
FA WSL 2018-19,Arsenal WFC,C4_R2,10,1458,0.001404,0.001459,below,-0.0095,-0.3638,0.7160258547143846,0.880578,ns
FA WSL 2018-19,Arsenal WFC,C4_R3,11,1925,0.001179,0.000884,above,0.0635,2.7857,0.005393074229309854,0.053391,ns
FA WSL 2018-19,Arsenal WFC,C5_R1,12,1362,0.002155,0.001861,above,0.035,1.2918,0.19664507270580225,0.523809,ns
FA WSL 2018-19,Arsenal WFC,C5_R2,13,1379,0.003503,0.004588,below,-0.0832,-3.0912,0.0020333766848207287,0.026841,*
FA WSL 2018-19,Arsenal WFC,C5_R3,14,1614,0.001764,0.001685,above,0.0097,0.3911,0.6957560601508984,0.871897,ns
FA WSL 2018-19,Arsenal WFC,C6_R1,15,859,0.004416,0.003219,above,0.0809,2.3708,0.017970195014936862,0.111191,ns
FA WSL 2018-19,Arsenal WFC,C6_R2,16,840,0.032532,0.038464,below,-0.0738,-2.1402,0.03262521239693191,0.174589,ns
FA WSL 2018-19,Arsenal WFC,C6_R3,17,1200,0.003294,0.00256,above,0.0515,1.7841,0.07465285767182572,0.295625,ns
FA WSL 2018-19,Birmingham City WFC,C1_R1,0,767,0.001034,0.00179,below,-0.0843,-2.3343,0.019835956617854096,0.115515,ns
FA WSL 2018-19,Birmingham City WFC,C1_R2,1,1466,0.001133,0.002375,below,-0.1386,-5.3076,1.2816865752859587e-07,1.3e-05,***
FA WSL 2018-19,Birmingham City WFC,C1_R3,2,705,0.00162,0.001206,above,0.0435,1.1542,0.24879710853337655,0.581896,ns
FA WSL 2018-19,Birmingham City WFC,C2_R1,3,1611,0.000986,0.000691,above,0.0539,2.1614,0.030808844146902672,0.169449,ns
FA WSL 2018-19,Birmingham City WFC,C2_R2,4,1697,0.000389,0.000737,below,-0.0566,-2.3323,0.019802831004773192,0.115515,ns
FA WSL 2018-19,Birmingham City WFC,C2_R3,5,1537,0.000772,0.000659,above,0.0231,0.9065,0.364794513721953,0.683708,ns
FA WSL 2018-19,Birmingham City WFC,C3_R1,6,1754,0.000719,0.000464,above,0.0593,2.4838,0.013091496345882027,0.092576,ns
FA WSL 2018-19,Birmingham City WFC,C3_R2,7,1801,0.000549,0.00065,below,-0.0212,-0.9014,0.3674887362829216,0.683708,ns
FA WSL 2018-19,Birmingham City WFC,C3_R3,8,1776,0.000507,0.000447,above,0.0145,0.6096,0.5422070317314209,0.772352,ns
FA WSL 2018-19,Birmingham City WFC,C4_R1,9,1263,0.000645,0.000933,below,-0.0592,-2.1021,0.03573865746087442,0.181442,ns
FA WSL 2018-19,Birmingham City WFC,C4_R2,10,1065,0.001326,0.001466,below,-0.0234,-0.7637,0.44521230988912847,0.722558,ns
FA WSL 2018-19,Birmingham City WFC,C4_R3,11,1482,0.000793,0.000923,below,-0.0264,-1.0163,0.3096337028397255,0.625586,ns
