cluster_id,stratum,n_possessions,pct_of_total,mean_total_pva,median_total_pva,std_total_pva,mean_mean_pva,mean_n_actions,median_n_actions,start_third_mode,end_third_mode,net_x_progress,centroid_start_x,centroid_start_y,centroid_end_x,centroid_end_y,centroid_p0_x,centroid_p0_y,centroid_p1_x,centroid_p1_y,centroid_p2_x,centroid_p2_y,centroid_p3_x,centroid_p3_y,centroid_p4_x,centroid_p4_y,centroid_p5_x,centroid_p5_y,centroid_p6_x,centroid_p6_y,centroid_p7_x,centroid_p7_y,centroid_p8_x,centroid_p8_y,centroid_p9_x,centroid_p9_y,centroid_p10_x,centroid_p10_y,centroid_p11_x,centroid_p11_y,centroid_p12_x,centroid_p12_y,centroid_p13_x,centroid_p13_y,centroid_p14_x,centroid_p14_y,centroid_p15_x,centroid_p15_y,centroid_p16_x,centroid_p16_y,centroid_p17_x,centroid_p17_y,centroid_p18_x,centroid_p18_y,centroid_p19_x,centroid_p19_y
D11,Defensive,496,2.02,0.122495,0.043987,0.174241,0.008424,19.3,16.0,Defensive,Attacking,0.55,0.2583,0.6375,0.8083,0.4375,0.258333,0.6375,0.306426,0.6375,0.354518,0.6375,0.400682,0.647637,0.445415,0.665295,0.490148,0.682953,0.534775,0.699168,0.576432,0.675136,0.618088,0.651103,0.659745,0.62707,0.701402,0.603037,0.743059,0.579005,0.75,0.534921,0.75,0.486829,0.75,0.438737,0.75,0.390645,0.75,0.342552,0.764058,0.352112,0.786196,0.394806,0.808333,0.4375
D8,Defensive,566,2.31,0.100415,0.041346,0.13958,0.009246,12.2,10.0,Defensive,Attacking,0.55,0.2333,0.3625,0.7833,0.3375,0.233333,0.3625,0.260223,0.394768,0.293598,0.409013,0.334882,0.401272,0.376166,0.393531,0.408333,0.378224,0.439946,0.352539,0.474186,0.32821,0.508427,0.303881,0.542667,0.279552,0.576908,0.255223,0.611148,0.230895,0.645389,0.206566,0.679629,0.182237,0.71387,0.157908,0.733422,0.17707,0.7459,0.217178,0.758378,0.257285,0.770855,0.297393,0.783333,0.3375
A8,Attacking,488,1.99,0.097599,0.045568,0.155997,0.009589,11.5,10.0,Attacking,Attacking,-0.0842,0.8742,0.7475,0.79,0.2912,0.874167,0.7475,0.862997,0.734474,0.832707,0.725892,0.807773,0.713474,0.809402,0.682034,0.811031,0.650594,0.81266,0.619154,0.814289,0.587714,0.815918,0.556275,0.817547,0.524835,0.819176,0.493395,0.80509,0.473027,0.774936,0.463981,0.76657,0.436395,0.762469,0.405182,0.758368,0.373968,0.754267,0.342754,0.750166,0.31154,0.758518,0.29125,0.79,0.29125
M3,Midfield,673,2.74,0.088202,0.029626,0.139429,0.007731,13.0,11.0,Midfield,Attacking,0.2333,0.5583,0.7125,0.7917,0.375,0.558333,0.7125,0.576086,0.6892,0.593839,0.665899,0.611591,0.642599,0.62666,0.618027,0.633445,0.589531,0.64023,0.561035,0.647015,0.532539,0.653799,0.504043,0.660584,0.475546,0.667833,0.447201,0.679099,0.420162,0.690366,0.393122,0.701632,0.366083,0.720203,0.35,0.749496,0.35,0.778788,0.35,0.808081,0.35,0.815101,0.357424,0.791667,0.375
A7,Attacking,458,1.87,0.076294,0.039964,0.129515,0.00811,9.5,9.0,Attacking,Attacking,0.0667,0.8133,0.0588,0.88,0.3588,0.813333,0.05875,0.827631,0.068604,0.841929,0.078458,0.842705,0.094574,0.840972,0.111852,0.839239,0.12913,0.837506,0.146408,0.835773,0.163686,0.834041,0.180964,0.832308,0.198242,0.830575,0.21552,0.83612,0.23111,0.845278,0.245864,0.854435,0.260618,0.863593,0.275371,0.87275,0.290125,0.876005,0.30681,0.877336,0.324123,0.878668,0.341437,0.88,0.35875
M2,Midfield,781,3.19,0.073949,0.01773,0.136759,0.005513,14.3,12.0,Midfield,Attacking,0.385,0.4033,0.3988,0.7883,0.6712,0.403333,0.39875,0.388639,0.432799,0.396676,0.470187,0.404713,0.507576,0.412749,0.544964,0.420786,0.582352,0.428823,0.61974,0.436859,0.657128,0.444896,0.694516,0.482747,0.695,0.520989,0.695,0.557916,0.68596,0.594573,0.675065,0.631231,0.66417,0.667888,0.653275,0.704545,0.64238,0.741202,0.631485,0.77786,0.62059,0.793938,0.633421,0.788333,0.67125
M8,Midfield,659,2.69,0.073221,0.026563,0.114924,0.006781,12.4,11.0,Midfield,Attacking,0.3467,0.52,0.2125,0.8667,0.7837,0.52,0.2125,0.54251,0.240269,0.56502,0.268039,0.58753,0.295808,0.609505,0.323845,0.618216,0.358514,0.626928,0.393183,0.63564,0.427852,0.644352,0.462522,0.656795,0.495574,0.676121,0.525647,0.695447,0.555719,0.714773,0.585792,0.734099,0.615864,0.756688,0.643461,0.780437,0.670179,0.804186,0.696896,0.827563,0.723898,0.847115,0.753824,0.866667,0.78375
D0,Defensive,593,2.42,0.071178,0.019269,0.137222,0.005364,15.3,13.0,Defensive,Attacking,0.6333,0.15,0.2125,0.7833,0.675,0.15,0.2125,0.183567,0.2504,0.209081,0.294139,0.234595,0.337878,0.258751,0.382371,0.282386,0.427153,0.306021,0.471935,0.329656,0.516718,0.353292,0.5615,0.376927,0.606282,0.401106,0.650474,0.447648,0.670421,0.494191,0.690367,0.540733,0.710314,0.576765,0.711762,0.584256,0.662673,0.634025,0.672005,0.683795,0.681337,0.733564,0.684332,0.783333,0.675
D10,Defensive,510,2.08,0.070534,0.019916,0.121445,0.005555,14.9,13.0,Defensive,Attacking,0.7375,0.1217,0.6462,0.8592,0.2537,0.121667,0.64625,0.151683,0.691275,0.1817,0.7363,0.226162,0.730649,0.275407,0.708218,0.324652,0.685787,0.361808,0.650353,0.387767,0.602872,0.413725,0.555392,0.439683,0.507911,0.465641,0.460431,0.491599,0.41295,0.517558,0.36547,0.543516,0.317989,0.593656,0.301845,0.646166,0.288774,0.698677,0.275702,0.751433,0.264065,0.8053,0.258907,0.859167,0.25375
D15,Defensive,547,2.23,0.069956,0.017212,0.139243,0.005183,15.4,14.0,Defensive,Attacking,0.4833,0.2342,0.235,0.7175,0.7925,0.234167,0.235,0.273286,0.24804,0.312405,0.26108,0.353304,0.265294,0.388842,0.283354,0.421935,0.307954,0.455029,0.332555,0.475335,0.367757,0.493381,0.404835,0.511426,0.441912,0.529472,0.478989,0.547518,0.516066,0.565563,0.553143,0.583609,0.59022,0.601655,0.627297,0.6197,0.664374,0.637746,0.701451,0.655792,0.738528,0.685676,0.766279,0.7175,0.7925
